[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2020-04-24 13:14:06.464531 I | etcdmain: etcd Version: 3.4.3
2020-04-24 13:14:06.464889 I | etcdmain: Git SHA: 3cf2f69b5
2020-04-24 13:14:06.464960 I | etcdmain: Go Version: go1.12.12
2020-04-24 13:14:06.464990 I | etcdmain: Go OS/Arch: linux/amd64
2020-04-24 13:14:06.465160 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2020-04-24 13:14:06.510672 N | etcdmain: the server is already initialized as member before, starting as etcd member...
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2020-04-24 13:14:06.510962 I | embed: peerTLS: cert = /etc/kubernetes/pki/etcd/peer.crt, key = /etc/kubernetes/pki/etcd/peer.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2020-04-24 13:14:06.634447 I | embed: name = master
2020-04-24 13:14:06.634522 I | embed: data dir = /var/lib/etcd
2020-04-24 13:14:06.634528 I | embed: member dir = /var/lib/etcd/member
2020-04-24 13:14:06.634530 I | embed: heartbeat = 100ms
2020-04-24 13:14:06.634533 I | embed: election = 1000ms
2020-04-24 13:14:06.634536 I | embed: snapshot count = 10000
2020-04-24 13:14:06.634546 I | embed: advertise client URLs = https://192.168.32.2:2379
2020-04-24 13:14:06.634550 I | embed: initial advertise peer URLs = https://192.168.32.2:2380
2020-04-24 13:14:06.634554 I | embed: initial cluster = 
2020-04-24 13:14:07.071735 I | etcdserver: recovered store from snapshot at index 20002
2020-04-24 13:14:07.432357 I | mvcc: restore compact to 22632
2020-04-24 13:14:08.470751 I | etcdserver: restarting member 59061dc61da385f6 in cluster ed931f03a49b322f at commit index 26678
raft2020/04/24 13:14:08 INFO: 59061dc61da385f6 switched to configuration voters=(6414847455973836278)
raft2020/04/24 13:14:08 INFO: 59061dc61da385f6 became follower at term 2
raft2020/04/24 13:14:08 INFO: newRaft 59061dc61da385f6 [peers: [59061dc61da385f6], term: 2, commit: 26678, applied: 20002, lastindex: 26678, lastterm: 2]
2020-04-24 13:14:08.476145 I | etcdserver/api: enabled capabilities for version 3.4
2020-04-24 13:14:08.476176 I | etcdserver/membership: added member 59061dc61da385f6 [https://192.168.32.2:2380] to cluster ed931f03a49b322f from store
2020-04-24 13:14:08.476184 I | etcdserver/membership: set the cluster version to 3.4 from store
2020-04-24 13:14:08.652948 I | mvcc: restore compact to 22632
2020-04-24 13:14:08.660081 W | auth: simple token is not cryptographically signed
2020-04-24 13:14:09.019962 I | etcdserver: starting server... [version: 3.4.3, cluster version: 3.4]
2020-04-24 13:14:09.047984 I | etcdserver: 59061dc61da385f6 as single-node; fast-forwarding 9 ticks (election ticks 10)
raft2020/04/24 13:14:09 INFO: 59061dc61da385f6 is starting a new election at term 2
raft2020/04/24 13:14:09 INFO: 59061dc61da385f6 became candidate at term 3
raft2020/04/24 13:14:09 INFO: 59061dc61da385f6 received MsgVoteResp from 59061dc61da385f6 at term 3
raft2020/04/24 13:14:09 INFO: 59061dc61da385f6 became leader at term 3
raft2020/04/24 13:14:09 INFO: raft.node: 59061dc61da385f6 elected leader 59061dc61da385f6 at term 3
2020-04-24 13:14:09.576583 I | embed: ClientTLS: cert = /etc/kubernetes/pki/etcd/server.crt, key = /etc/kubernetes/pki/etcd/server.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2020-04-24 13:14:09.576755 I | embed: listening for metrics on http://127.0.0.1:2381
2020-04-24 13:14:09.577068 I | embed: listening for peers on 192.168.32.2:2380
2020-04-24 13:14:09.603956 I | etcdserver: published {Name:master ClientURLs:[https://192.168.32.2:2379]} to cluster ed931f03a49b322f
2020-04-24 13:14:09.604066 I | embed: ready to serve client requests
2020-04-24 13:14:09.604179 I | embed: ready to serve client requests
2020-04-24 13:14:09.696191 I | embed: serving client requests on 127.0.0.1:2379
2020-04-24 13:14:09.818842 I | embed: serving client requests on 192.168.32.2:2379
2020-04-24 13:14:32.431585 W | etcdserver: request "header:<ID:9653027836254938836 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/calico-kube-controllers-75d56dfc47-86t9t\" mod_revision:2878 > success:<request_put:<key:\"/registry/pods/kube-system/calico-kube-controllers-75d56dfc47-86t9t\" value_size:4177 >> failure:<request_range:<key:\"/registry/pods/kube-system/calico-kube-controllers-75d56dfc47-86t9t\" > >>" with result "size:18" took too long (243.613142ms) to execute
2020-04-24 13:14:33.063085 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:603" took too long (841.379063ms) to execute
2020-04-24 13:14:37.960245 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:603" took too long (434.515987ms) to execute
2020-04-24 13:14:37.960420 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:258" took too long (187.513219ms) to execute
2020-04-24 13:14:38.666454 W | etcdserver: request "header:<ID:9653027836254938857 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/192.168.32.2\" mod_revision:23736 > success:<request_put:<key:\"/registry/masterleases/192.168.32.2\" value_size:67 lease:429655799400163047 >> failure:<request_range:<key:\"/registry/masterleases/192.168.32.2\" > >>" with result "size:18" took too long (142.300782ms) to execute
2020-04-24 13:14:38.668029 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (255.716111ms) to execute
2020-04-24 13:14:38.668683 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-controller-manager-master\" " with result "range_response_count:1 size:6710" took too long (154.013756ms) to execute
2020-04-24 13:14:39.145247 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:289" took too long (467.80122ms) to execute
2020-04-24 13:14:39.145409 W | etcdserver: request "header:<ID:9653027836254938865 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-system/kube-controller-manager\" mod_revision:23687 > success:<request_put:<key:\"/registry/leases/kube-system/kube-controller-manager\" value_size:434 >> failure:<request_range:<key:\"/registry/leases/kube-system/kube-controller-manager\" > >>" with result "size:18" took too long (156.0361ms) to execute
2020-04-24 13:14:39.149490 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/etcd-master\" " with result "range_response_count:1 size:4459" took too long (467.579206ms) to execute
2020-04-24 13:14:39.754686 W | etcdserver: request "header:<ID:9653027836254938873 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-system/kube-scheduler\" mod_revision:23689 > success:<request_put:<key:\"/registry/leases/kube-system/kube-scheduler\" value_size:416 >> failure:<request_range:<key:\"/registry/leases/kube-system/kube-scheduler\" > >>" with result "size:18" took too long (476.892013ms) to execute
2020-04-24 13:14:39.755169 W | etcdserver: read-only range request "key:\"/registry/endpointslices/default/kubernetes\" " with result "range_response_count:1 size:485" took too long (597.190118ms) to execute
2020-04-24 13:14:39.755419 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-scheduler-master\" " with result "range_response_count:1 size:3713" took too long (593.574183ms) to execute
2020-04-24 13:14:39.756834 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (340.37933ms) to execute
2020-04-24 13:14:39.756998 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:512" took too long (513.745402ms) to execute
2020-04-24 13:14:40.352635 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:485" took too long (589.772799ms) to execute
2020-04-24 13:14:40.358913 W | etcdserver: request "header:<ID:9653027836254938879 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:23756 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:513 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:18" took too long (204.302578ms) to execute
2020-04-24 13:14:40.415284 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (617.54191ms) to execute
2020-04-24 13:14:40.416008 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-apiserver-master\" " with result "range_response_count:1 size:6529" took too long (649.010359ms) to execute
2020-04-24 13:14:41.175754 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:512" took too long (794.55033ms) to execute
2020-04-24 13:14:41.176396 W | etcdserver: request "header:<ID:9653027836254938886 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/kube-apiserver-master\" mod_revision:402 > success:<request_put:<key:\"/registry/pods/kube-system/kube-apiserver-master\" value_size:6568 >> failure:<request_range:<key:\"/registry/pods/kube-system/kube-apiserver-master\" > >>" with result "size:18" took too long (506.077356ms) to execute
2020-04-24 13:14:41.429856 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:485" took too long (1.010395113s) to execute
2020-04-24 13:14:41.430453 W | etcdserver: request "header:<ID:9653027836254938888 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/calico-node-8kc9h.1608c3bc08817207\" mod_revision:0 > success:<request_put:<key:\"/registry/events/kube-system/calico-node-8kc9h.1608c3bc08817207\" value_size:676 lease:429655799400162922 >> failure:<>>" with result "size:18" took too long (122.981452ms) to execute
2020-04-24 13:14:41.430669 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/job-controller\" " with result "range_response_count:1 size:240" took too long (752.376559ms) to execute
2020-04-24 13:14:41.654949 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:507" took too long (123.362352ms) to execute
2020-04-24 13:14:41.655846 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:481" took too long (124.474923ms) to execute
2020-04-24 13:14:41.656097 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/expand-controller\" " with result "range_response_count:1 size:249" took too long (124.292053ms) to execute
2020-04-24 13:14:41.949617 W | etcdserver: request "header:<ID:9653027836254938899 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:23764 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:513 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:18" took too long (148.246817ms) to execute
2020-04-24 13:14:41.954148 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:481" took too long (289.865975ms) to execute
2020-04-24 13:14:42.432583 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/namespace-controller\" " with result "range_response_count:1 size:258" took too long (387.103763ms) to execute
2020-04-24 13:14:42.432677 W | etcdserver: request "header:<ID:9653027836254938904 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-system/kube-controller-manager\" mod_revision:23771 > success:<request_put:<key:\"/registry/leases/kube-system/kube-controller-manager\" value_size:430 >> failure:<request_range:<key:\"/registry/leases/kube-system/kube-controller-manager\" > >>" with result "size:18" took too long (313.824055ms) to execute
2020-04-24 13:14:43.193166 W | etcdserver: request "header:<ID:9653027836254938906 > lease_revoke:<id:05f671ac52eee6b8>" with result "size:29" took too long (386.119971ms) to execute
2020-04-24 13:14:43.193821 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpointslice-controller\" " with result "range_response_count:1 size:270" took too long (228.594388ms) to execute
2020-04-24 13:14:43.616474 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:261" took too long (246.05911ms) to execute
2020-04-24 13:14:43.617436 W | etcdserver: request "header:<ID:9653027836254938909 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/calico-node-8kc9h.1608c3bc9d5637e4\" mod_revision:0 > success:<request_put:<key:\"/registry/events/kube-system/calico-node-8kc9h.1608c3bc9d5637e4\" value_size:676 lease:429655799400162922 >> failure:<>>" with result "size:18" took too long (105.31355ms) to execute
2020-04-24 13:14:44.173048 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (140.04492ms) to execute
2020-04-24 13:14:44.847080 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/bootstrap-token-8kp831\" " with result "range_response_count:1 size:790" took too long (651.122647ms) to execute
2020-04-24 13:14:44.847663 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/service-controller\" " with result "range_response_count:1 size:252" took too long (255.493364ms) to execute
2020-04-24 13:14:44.848111 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/calico-node-8kc9h\" " with result "range_response_count:1 size:12303" took too long (294.60139ms) to execute
2020-04-24 13:14:44.848255 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:481" took too long (648.725885ms) to execute
2020-04-24 13:14:44.848871 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:603" took too long (411.632571ms) to execute
2020-04-24 13:14:45.656480 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (793.097356ms) to execute
2020-04-24 13:14:45.656939 W | etcdserver: request "header:<ID:9653027836254938921 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-system/kube-scheduler\" mod_revision:23775 > success:<request_put:<key:\"/registry/leases/kube-system/kube-scheduler\" value_size:411 >> failure:<request_range:<key:\"/registry/leases/kube-system/kube-scheduler\" > >>" with result "size:18" took too long (171.379311ms) to execute
2020-04-24 13:14:46.332635 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/node-controller\" " with result "range_response_count:1 size:243" took too long (1.122288207s) to execute
2020-04-24 13:14:46.333434 W | etcdserver: request "header:<ID:9653027836254938924 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:23774 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:513 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:18" took too long (518.596377ms) to execute
2020-04-24 13:14:47.075924 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/clusterrole-aggregation-controller\" " with result "range_response_count:1 size:300" took too long (248.990057ms) to execute
2020-04-24 13:14:48.467962 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:603" took too long (111.23436ms) to execute
2020-04-24 13:14:48.468422 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:480" took too long (785.788835ms) to execute
2020-04-24 13:14:48.468895 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:258" took too long (694.580347ms) to execute
2020-04-24 13:14:48.469972 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:273" took too long (739.81847ms) to execute
2020-04-24 13:14:49.135255 W | etcdserver: read-only range request "key:\"/registry/masterleases/192.168.32.2\" " with result "range_response_count:1 size:136" took too long (632.655652ms) to execute
2020-04-24 13:14:49.325298 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (820.957197ms) to execute
2020-04-24 13:14:49.325356 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:273" took too long (820.546117ms) to execute
2020-04-24 13:14:49.325612 W | etcdserver: request "header:<ID:9653027836254938945 username:\"kube-apiserver-etcd-client\" auth_revision:1 > lease_grant:<ttl:15-second id:05f671ac52eee740>" with result "size:41" took too long (129.495973ms) to execute
2020-04-24 13:14:50.019687 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (222.886872ms) to execute
2020-04-24 13:14:50.019971 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:289" took too long (678.195923ms) to execute
2020-04-24 13:14:50.020191 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/pvc-protection-controller\" " with result "range_response_count:1 size:273" took too long (672.044652ms) to execute
2020-04-24 13:14:51.736768 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:481" took too long (591.708765ms) to execute
2020-04-24 13:14:51.737588 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:603" took too long (393.486586ms) to execute
2020-04-24 13:14:53.081213 W | etcdserver: request "header:<ID:9653027836254938970 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/master.1608c3be94043ad1\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/master.1608c3be94043ad1\" value_size:493 lease:429655799400162922 >> failure:<>>" with result "size:18" took too long (346.987358ms) to execute
2020-04-24 13:14:53.809607 W | etcdserver: request "header:<ID:9653027836254938971 > lease_revoke:<id:05f671ac52eee6e7>" with result "size:29" took too long (471.855186ms) to execute
2020-04-24 13:14:54.252179 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:480" took too long (435.300654ms) to execute
2020-04-24 13:14:56.662381 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:603" took too long (128.272367ms) to execute
2020-04-24 13:14:56.662704 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:481" took too long (397.866296ms) to execute
